task_id,conversation_type,duration_min,n_events_mean,event_rate_per_min,word_rate_wpm,words_sp1,words_sp2,wpm_sp1,wpm_sp2,ttr_sp1,ttr_sp2,silence_ratio,turn_count,turn_dur_mean,turn_dur_median,turn_dur_std,n_speaker_changes,fto_mean_s,fto_median_s,fto_n,speaker_balance,bc_rate_per_min,bc_ack_per_min,bc_cont_per_min,bc_react_per_min,int_rate_per_min,int_competitive_per_min,int_cooperative_per_min,int_floor_taking_per_min,int_non_floor_per_min,overlap_count_per_min,overlap_dur_s,laughter_rate_per_min,non_content_ratio,question_rate_per_min
2001,Switchboard,4.205,136.0,32.343,211.89,474,417,112.72,99.17,0.3692,0.4484,0.0649,55,5.196,2.993,5.88,54,-0.666,-0.157,54,0.5364,3.329,,,,4.518,,,3.805,0.713,10.226,22.68,1.665,0.0415,
2005,Switchboard,8.314,159.0,19.125,207.85,1065,663,128.1,79.75,0.2742,0.356,0.2135,63,7.953,1.509,13.737,62,-0.123,-0.028,62,0.6406,6.014,,,,0.722,,,0.722,0.0,4.33,11.27,0.241,0.0057,0.361
2006,Switchboard,7.333,82.0,11.183,197.61,524,925,71.46,126.15,0.4065,0.3773,0.1415,30,14.478,1.652,25.936,29,0.09,0.062,29,0.3798,3.0,,,,0.273,,,0.273,0.0,1.773,3.79,1.773,0.0059,0.409
2007,Switchboard,9.997,151.0,15.105,191.16,889,1022,88.93,102.23,0.3588,0.3748,0.1901,83,7.098,4.035,8.699,82,0.111,0.149,82,0.4595,2.201,,,,0.7,,,0.7,0.0,3.001,10.94,0.8,0.0062,
2008,Switchboard,3.677,89.0,24.206,186.04,313,371,85.13,100.91,0.5367,0.4097,0.2222,42,4.779,2.909,5.375,41,0.401,0.21,41,0.4546,5.984,,,,0.816,,,0.816,0.0,4.08,3.66,1.36,0.0124,1.632
2009,Switchboard,5.233,114.0,21.784,207.33,531,554,101.47,105.86,0.4218,0.4007,0.1226,52,6.013,2.747,7.016,51,-0.025,0.104,51,0.4452,3.822,,,,1.147,,,1.147,0.0,3.44,7.27,3.44,0.0172,
2010,Switchboard,4.813,80.0,16.621,216.7,451,592,93.7,123.0,0.4279,0.3767,0.1539,45,6.212,2.562,9.231,44,0.101,0.148,44,0.4645,2.285,,,,0.208,,,0.208,0.0,3.74,4.76,0.416,0.0451,4.571
2012,Switchboard,9.963,105.0,10.539,204.66,1281,758,128.58,76.08,0.3044,0.3496,0.1472,38,15.818,7.958,15.666,37,-0.187,0.121,37,0.6302,2.71,,,,0.502,,,0.401,0.1,2.108,10.31,1.204,0.0052,0.401
2013,Switchboard,9.211,147.0,15.959,218.22,661,1349,71.76,146.46,0.3661,0.2958,0.2474,84,6.29,1.481,10.397,83,0.255,0.216,83,0.3765,2.28,,,,0.977,,,0.869,0.109,2.28,9.09,0.651,0.0164,
2014,Switchboard,3.834,119.0,31.035,193.77,259,484,67.55,126.23,0.529,0.4091,0.1278,50,4.426,2.569,4.729,49,0.097,0.107,49,0.417,1.826,,,,1.043,,,1.043,0.0,5.216,6.92,7.042,0.0636,
2015,Switchboard,6.478,49.0,7.564,194.51,553,707,85.37,109.14,0.4647,0.3366,0.2282,25,14.326,10.462,13.512,24,1.018,0.658,24,0.4225,1.698,,,,0.154,,,0.154,0.0,0.463,0.69,0.772,0.0133,0.618
